class,blook,floor,x,y,notes,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,24:de:c6:3c:f3:80,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30
204,D,1,0.74 m,1.72 m,en arka sol sıra,-70,-100,-70,-70,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.74 m,1.72 m,en arka sol sıra,-70,-80,-71,-72,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.74 m,1.72 m,en arka sol sıra,-69,-100,-67,-70,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.74 m,1.72 m,en arka sol sıra,-75,-100,-70,-79,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.74 m,1.72 m,en arka sol sıra,-75,-80,-81,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.74 m,1.72 m,en arka sol sıra,-100,-83,-76,-83,-100,-100,-100,-100,-100,-100,-100
204,D,1,0,0,sınıfa donukken,-71,-79,-100,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,0,0,duvara dönuk,-89,-73,-71,-86,-100,-100,-100,-100,-100,-100,-100
204,D,1,0,0,en arka ters duvara dönuk,-86,-74,-75,-84,-86,-100,-100,-100,-100,-100,-100
204,D,1,0,0,sınıfa dönükken,-100,-80,-74,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.72,1.72,en arka sol ikinci sıra,-74,-74,-65,-77,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.72,1.72,en arka sol ikinci sıra,-67,-73,-66,-83,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.72,1.72,en arka sol ikinci sıra,-100,-80,-74,-80,-86,-100,-100,-100,-100,-100,-100
204,D,1,1.72,1.72,en arka sol ikinci sıra,-78,-80,-73,-85,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.65,1.72,en arka sol  ücüncü sıra,-100,-100,-68,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.65,1.72,en arka sol  ücüncü sıra,-100,-100,-68,-70,-86,-100,-100,-100,-100,-100,-100
204,D,1,2.65,1.72,en arka sol  ücüncü sıra,-100,-100,-68,-71,-86,-100,-100,-100,-100,-100,-100
204,D,1,2.65,1.72,en arka sol  ücüncü sıra,-74,-71,-70,-79,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.65,1.72,en arka sol  ücüncü sıra,-74,-72,-69,-83,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.65,1.72,en arka sol  ücüncü sıra,-100,-74,-69,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.65,1.72,en arka sol  ücüncü sıra,-100,-67,-61,-76,-81,-100,-100,-100,-100,-100,-100
204,D,1,3.58,1.72,en arka sol 4. sıra,-77,-100,-73,-82,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.58,1.72,en arka sol 4. sıra,-77,-74,-68,-78,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.58,1.72,en arka sol 4. sıra,-75,-80,-68,-81,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.58,1.72,en arka sol 4. sıra,-100,-72,-73,-76,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.58,1.72,en arka sol 4. sıra,-69,-100,-70,-77,-82,-100,-100,-100,-100,-100,-100
204,D,1,3.58,1.72,en arka sol 4. sıra,-69,-100,-100,-73,-83,-100,-100,-100,-100,-100,-100
204,D,1,4.50,1.72,en arka sol 5. sıra,-69,-66,-75,-70,-84,-100,-100,-100,-100,-100,-100
204,D,1,4.50,1.72,en arka sol 5. sıra,-100,-66,-75,-68,-86,-100,-100,-100,-100,-100,-100
