floor,blook,class,x,y,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,24:de:c6:3c:f3:80,time,telefon,açıklama
1,D,204,0.74 m,1.72 m,-70 dbm,,-70,-70,,15.48,e,en arka sol sıra
1,D,204,0.74 m,1.72 m,-70 dbm,-80,-71,-72,,15.49,e,en arka sol sıra
1,D,204,0.74 m,1.72 m,-69 dbm,,-67,-70,,15.53,e,en arka sol sıra
1,D,204,0.74 m,1.72 m,-75,,-70,-79,,15.54,d,en arka sol sıra
1,D,204,0.74 m,1.72 m,-75,-80,-81,-80,,15.56,d,en arka sol sıra
1,D,204,0.74 m,1.72 m,,-83,-76,-83,,15.57,d,en arka sol sıra
1,D,204,0,0,-71,-79,,-74,,16.00,e,sınıfa donukken
1,D,204,0,0,-89,-73,-71,-86,,16.00,e,duvara dönuk
1,D,204,0,0,-86,-74,-75,-84,-86,16.02,d,en arka ters duvara dönuk
1,D,204,0,0,,-80,-74,-80,,16.04,d,sınıfa dönükken
1,D,204,1.72,1.72,-74,-74,-65,-77,,16.06,e,en arka sol ikinci sıra
1,D,204,1.72,1.72,-67,-73,-66,-83,,16.07,e,en arka sol ikinci sıra
1,D,204,1.72,1.72,,-80,-74,-80,-86,16.09,d,en arka sol ikinci sıra
1,D,204,1.72,1.72,-78,-80,-73,-85,,16.09,d,en arka sol ikinci sıra
1,D,204,2.65,1.72,,,-68,-74,,16.14,e,en arka sol  ücüncü sıra
1,D,204,2.65,1.72,,,-68,-70,-86,16.15,e,en arka sol  ücüncü sıra
1,D,204,2.65,1.72,,,-68,-71,-86,16.15,e,en arka sol  ücüncü sıra
1,D,204,2.65,1.72,-74,-71,-70,-79,,16.18,d,en arka sol  ücüncü sıra
1,D,204,2.65,1.72,-74,-72,-69,-83,,16.18,d,en arka sol  ücüncü sıra
1,D,204,2.65,1.72,,-74,-69,-80,,16.20,d,en arka sol  ücüncü sıra
1,D,204,2.65,1.72,,-67,-61,-76,-81,16.21,e,en arka sol  ücüncü sıra
1,D,204,3.58,1.72,-77,,-73,-82,,16.46,d,en arka sol 4. sıra
1,D,204,3.58,1.72,-77,-74,-68,-78,,16.46,d,en arka sol 4. sıra
1,D,204,3.58,1.72,-75,-80,-68,-81,,16.49,d,en arka sol 4. sıra
1,D,204,3.58,1.72,,-72,-73,-76,,16.49,e,en arka sol 4. sıra
1,D,204,3.58,1.72,-69,,-70,-77,-82,16.52,e,en arka sol 4. sıra
1,D,204,3.58,1.72,-69,,,-73,-83,16.52,e,en arka sol 4. sıra
1,D,204,4.50,1.72,-69,-66,-75,-70,-84,16.55,e,en arka sol 5. sıra
1,D,204,4.50,1.72,,-66,-75,-68,-86,16.57,e,en arka sol 5. sıra
