floor,blook,class,x,y,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,24:de:c6:3c:f3:80,time,telefon,açıklama
1,D,205,11.67,1.72,-56,-57,-76,,-86,-81,-90,-86,-86,11.49,d,sol en arka 1.sıra
1,D,205,11.67,1.72,-53,-55,,-84,-86,-86,-90,-86,,11.50,d,sol en arka 1.sıra
1,D,205,11.67,1.72,-58,-56,-63,-81,-88,-86,-90,-86,,11.51,d,sol en arka 1.sıra
1,D,205,11.67,1.72,-61,-59,-68,-79,-90,-86,,-86,,11.52,d,sol en arka 1.sıra
1,D,205,11.67,1.72,,-59,-63,-76,-86,,-88,,,11.52,e,sol en arka 1.sıra
1,D,205,11.67,1.72,,-56,-63,-76,-86,,-88,,,11.52,e,sol en arka 1.sıra
1,D,205,11.67,1.72,,-54,-63,-76,-86,,-88,,,11.52,e,sol en arka 1.sıra
1,D,205,11.67,1.72,,-57,-74,-82,-79,-74,-88,,-85,12.07,e,sol en arka 1.sıra
1,D,205,13.23,1.72,-54,-63,-70,-78,-86,-81,,,,12.10,d,sol en arka 2.sıra
1,D,205,13.23,1.72,-53,-63,-69,-78,-86,-81,-90,,-86,12.10,d,sol en arka 2.sıra
1,D,205,13.23,1.72,-56,-59,,-86,-82,,-94,,,12.15,e,sol en arka 2.sıra
1,D,205,13.23,1.72,-56,-60,-67,-75,-83,,-89,,,12.15,e,sol en arka 2.sıra
1,D,205,13.23,1.72,-57,-64,-67,-74,-84,,-89,-91,,12.18,e,sol en arka 2.sıra
1,D,205,14.15,1.72,-53,-63,-70,-78,-86,-81,-90,,-86,12.21,d,sol en arka 3. sıra
1,D,205,14.15,1.72,-53,-58,-70,-79,-87,-77,-90,-86,-86,12.21,d,sol en arka 3. sıra
1,D,205,14.15,1.72,-54,-56,,-77,,-74,,,-86,12.21,d,sol en arka 3. sıra
1,D,205,14.15,1.72,-54,-61,-64,-73,-87,,-89,,,12.26,e,sol en arka 3. sıra
1,D,205,14.15,1.72,-54,-62,-64,-74,-85,,-89,-91,,12.26,e,sol en arka 3. sıra
1,D,205,14.15,1.72,-50,-61,-66,-74,-85,,,,,12.28,e,sol en arka 3. sıra
1,D,205,15.07,1.72,-53,-69,-66,-84,,-72,,-86,-86,12.32,d,sol en arka 4. sıra
1,D,205,15.07,1.72,-53,-61,-64,-83,-84,-72,,,,12.32,d,sol en arka 4. sıra
1,D,205,15.07,1.72,-54,-56,-63,-82,-84,,,,,12.32,d,sol en arka 4. sıra
1,D,205,15.07,1.72,-47,,-68,-76,-83,,-92,,,12.36,e,sol en arka 4. sıra
1,D,205,15.07,1.72,-50,-54,-69,-78,-84,,-91,-82,,12.37,e,sol en arka 4. sıra
1,D,205,15.07,1.72,-53,-54,-71,-81,-85,,-91,-82,,12.37,e,sol en arka 4. sıra
1,D,205,16.00,1.72,-53,-52,-63,-81,-87,-76,,-86,-86,12.41,d,sol en arka 5. sıra
1,D,205,16.00,1.72,-54,-51,-65,-81,-87,-78,,-86,-83,12.41,d,sol en arka 5. sıra
1,D,205,16.00,1.72,-59,-55,-67,,,-74,,,-80,12.42,d,sol en arka 5. sıra
1,D,205,16.00,1.72,-53,-54,-71,-81,-85,,-91,-82,,12.46,e,sol en arka 5. sıra
1,D,205,16.00,1.72,-54,-50,-74,-79,-85,,-91,-82,,12.46,e,sol en arka 5. sıra
1,D,205,16.00,1.72,-56,-49,-78,-79,-85,,-91,,,12.46,e,sol en arka 5. sıra
1,D,205,16.94,1.72,-55,-57,-78,-84,,,,-86,-86,12.50,d,sol en arka 6. sıra
1,D,205,16.94,1.72,-55,-52,-70,-84,-86,-63,,-86,-86,12.51,d,sol en arka 6. sıra
1,D,205,16.94,1.72,-53,-59,-72,-77,-82,,-87,,,12.55,e,sol en arka 6. sıra
1,D,205,16.94,1.72,-53,-54,-73,-77,-82,,-88,,,12.55,e,sol en arka 6. sıra
1,D,205,16.94,1.72,-56,-49,-78,-79,-85,,-91,,,12.55,e,sol en arka 6. sıra
1,D,205,17.87,1.72,-57,-56,-79,-82,,,,,,13.00,d,sol en arka 7. sıra
1,D,205,17.87,1.72,-60,-54,-76,-84,-87,-72,,-86,-86,13.00,d,sol en arka 7. sıra
1,D,205,17.87,1.72,-60,-53,-76,-84,-90,-72,,,,13.00,d,sol en arka 7. sıra
1,D,205,17.87,1.72,-53,-56,-78,-81,-86,,-93,-87,,13.04,e,sol en arka 7. sıra
1,D,205,17.87,1.72,-53,-56,-78,-80,-85,,-94,-87,,13.05,e,sol en arka 7. sıra
1,D,205,18.79,1.72,-50,-56,-80,-78,-83,,-92,-85,,13.07,e,sol en arka 8. sıra
1,D,205,18.79,1.72,-48,-56,-80,-77,-82,,-91,-84,,13.07,e,sol en arka 8. sıra
1,D,205,18.79,1.72,-47,-57,-82,-77,-82,,-91,-84,,13.07,e,sol en arka 8. sıra
1,D,205,18.79,1.72,-56,-62,-77,-80,,-69,,,,13.10,d,sol en arka 8. sıra
1,D,205,18.79,1.72,-52,-59,-74,-80,-87,-67,,-86,-86,13.10,d,sol en arka 8. sıra
1,D,205,18.79,1.72,-48,-63,-72,,-86,-69,,,-86,13.10,d,sol en arka 8. sıra
1,D,205,19.70,1.72,-56,-57,-71,-86,-87,-72,-88,,,13.15,d,sol en arka 9. sıra
1,D,205,19.70,1.72,-57,-57,-72,,-90,-74,-90,,,13.16,d,sol en arka 9. sıra
1,D,205,19.70,1.72,-47,-56,-78,-81,-82,,-91,-84,,13.18,e,sol en arka 9. sıra
1,D,205,19.70,1.72,-52,-56,-75,-85,-82,,,,,13.18,e,sol en arka 9. sıra
1,D,205,19.70,1.72,-53,-57,-76,-87,-86,,,-95,,13.20,e,sol en arka 9. sıra
1,D,205,21.55,1.45,-57,-58,-77,-82,-84,,,-89,,13.24,e,öretmen masası (kürsü)
1,D,205,21.55,1.45,-57,-59,-77,-79,-79,,,-85,,13.24,e,öretmen masası (kürsü)
1,D,205,21.55,1.45,-59,-54,-68,,,-71,,,-86,13.27,d,öretmen masası (kürsü)
1,D,205,21.55,1.45,-57,-53,-65,-84,,-68,-86,-86,-86,13.27,d,öretmen masası (kürsü)
1,D,205,21.55,1.45,-55,-53,-62,-84,,-67,-86,,,13.27,d,öretmen masası (kürsü)
1,D,205,11.15,0,-69,-64,-69,,,,-67,,-80,14.17,d,sol en köşe
1,D,205,11.15,0,-57,-60,-65,-84,-88,-76,,,,14.17,d,sol en köşe
1,D,205,11.15,0,-63,-62,-67,,,,-67,,-80,14.17,d,sol en köşe
1,D,205,11.15,0,-51,-56,-67,-77,-81,-65,-87,,,14.21,e,sol en köşe
1,D,205,11.15,0,-53,-56,-63,-74,,,-88,,,14.21,e,sol en köşe
1,D,205,11.15,0,-55,-56,-65,-76,-80,,-83,,,14.24,e,sol en köşe
1,D,205,12.87,0,-56,-60,-67,-80,,,,,,14.21,d,sol en arka 1. pencere
1,D,205,12.87,0,-55,-61,-64,-76,,-76,,,,14.21,d,sol en arka 1. pencere
1,D,205,12.87,0,-58,-57,-67,-78,-80,,-82,,,14.24,e,sol en arka 1. pencere
1,D,205,12.87,0,-55,-59,-64,-73,-78,-80,-80,,,14.28,e,sol en arka 1. pencere
1,D,205,12.87,0,-56,-59,-65,-75,-79,-80,,,,14.28,e,sol en arka 1. pencere
1,D,205,14.82,0,-56,-61,-67,-87,-84,-76,,,-80,14.32,d,sol en arka 1. pencere duvar
1,D,205,14.82,0,-53,-62,-68,-87,-84,-76,,,,14.32,d,sol en arka 1. pencere duvar
1,D,205,14.82,0,-50,-62,-70,,-84,-76,,,,14.32,d,sol en arka 1. pencere duvar
1,D,205,14.82,0,-48,-48,,-72,-73,-77,-82,-86,,14.36,e,sol en arka 1. pencere duvar
1,D,205,14.82,0,-49,-51,-64,-72,-74,-77,-81,-86,,14.36,e,sol en arka 1. pencere duvar
1,D,205,14.82,0,-51,-54,-64,-72,-75,-78,,,,14.36,e,sol en arka 1. pencere duvar
1,D,205,16.62,0,-46,-51,-71,-72,-73,-73,,-80,,14.38,e,en arka sol 2. pencere
1,D,205,16.62,0,,-50,-64,,-76,,-83,-86,,14.41,e,en arka sol 2. pencere
1,D,205,16.62,0,-46,-52,-67,,-76,-72,-83,-82,,14.41,e,en arka sol 2. pencere
1,D,205,16.62,0,-51,-55,-68,,-84,-75,,, ,14.45,d,en arka sol 2. pencere
1,D,205,16.62,0,,-48,,,-82,-80,-90,-80,,14.56,d,en arka sol 2. pencere
1,D,205,16.62,0,-59,-55,-68,-79,-82,,-88,-83,,15.01,d,en arka sol 2. pencere
1,D,205,18.56,0,-50,-54,-66,-77,-73,-83,-81,-84,,14.49,e,sol en arka 2 .pencere yyanı duvar
1,D,205,18.56,0,-50,-58,-69,-77,-70,-83,-79,-83,,14.50,e,sol en arka 2 .pencere yanı duvar
1,D,205,18.56,0,-52,-54,-63,-77,-72,-71,-79,-82,,14.53,e,sol en arka 2 .pencere yyanı duvar
1,D,205,18.56,0,-63,-56,-69,-79,-82,-86,-86,-86,-86,15.02,d,sol en arka 2 .pencere yanı duvar
1,D,205,18.56,0,-59,-56,-70,,-77,-80,-90,,-80,15.03,d,sol en arka 2 .pencere yanı duvar
1,D,205,18.56,0,-69,-58,-70,,-82,,,-86,,15.07,d,sol en arka 2 .pencere yanı duvar
1,D,205,20.36,0,-34,-47,-62,-79,-86,,,,,14.57,e,sol en arka 3. pencere
1,D,205,20.36,0,-39,-47,-70,-71,-73,,,-83,,14.56,e,sol en arka 3. pencere
