floor,blook,class,x,y,açıklama,time,telefon,ac:a3:1e:62:18:e0,ac:a3:1e:62:18:f0,ac:a3:1e:61:fe:00,ac:a3:1e:61:fe:10,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30,9c:1c:12:34:81:20,9c:1c:12:34:81:30,24:de:c6:3c:f3:80
1,D,206,22.30,0,sol en köşe,13.30,e,-65,-70,-74,-80,,-86,-88,-87,,-87,-91
1,D,206,22.30,0,sol en köşe,13.30,e,-63,-71,-78,-81,,-87,,,,-87,
1,D,206,22.30,0,sol en köşe,13.30,e,-64,-71,-75,-80,,-87,,,,-86,
1,D,206,22.30,0,sol en köşe,15.12,d,-77,-76,-70,-82,,,,-86,,,
1,D,206,22.30,0,sol en köşe,15.12,d,-76,-74,-70,-82,,,,-90,,,
1,D,206,24.15,0,sol ilk pencere ,13.38,e,,,-69,-77,,-91,-78,-79,,-88,
1,D,206,24.15,0,sol ilk pencere ,13.46,e,-66,,-66,-78,,-93,-80,-79,,-89,
1,D,206,24.15,0,sol ilk pencere ,16.24,d,-73,,-67,-81,-74,,,-84,,,
1,D,206,24.15,0,sol ilk pencere ,16.24,d,-71,-86,-67,-79,-75,-90,-86,,-86,-90,-86
1,D,206,24.15,0,sol ilk pencere ,16.25,d,-72,,-74,-76,-76,,,-76,-85,,
1,D,206,26.10,0,sol 1. pencere yanı duvar,13.52,e,-67,-75,-73,-86,,,,,,-90,
1,D,206,26.10,0,sol 1. pencere yanı duvar,13.52,e,-66,-75,-69,-81,,-93,-82,-80,,,
1,D,206,26.10,0,sol 1. pencere yanı duvar,13.55,e,-66,,-66,-77,,,-82,-80,,,
1,D,206,26.10,0,sol 1. pencere yanı duvar,16.31,d,-68,-72,-67,-80,-76,,-86,,-86,-90,
1,D,206,26.10,0,sol 1. pencere yanı duvar,16.32,d,-67,-73,-63,-82,,,-86,-86,-86,,
1,D,206,27.90,0,sol 2.pencere,14.29,e,-69,-75,-73,-83,-74,,-77,,-84,-90,
1,D,206,27.90,0,sol 2.pencere,14.33,e,-66,-78,,-76,,-85,-77,,-84,,
1,D,206,27.90,0,sol 2.pencere,14.35,e,-71,,-74,-75,-76,-87,,-78,-81,,
1,D,206,27.90,0,sol 2.pencere,16.35,d,-67,-75,-68,-79,-76,,-76,-86,-86,-90,
1,D,206,27.90,0,sol 2.pencere,16.35,d,-68,-72,-70,-80,,,,,-86,,
1,D,206,29.82,0,sol 2. pencere yanı duvar,14.45,e,-76,-69,-82,-83,-80,-87,-87,-80,-86,-89,-89
1,D,206,29.82,0,sol 2. pencere yanı duvar,14.49,e,-79,,-77,-84,-78,-93,,-80,,-93,
1,D,206,29.82,0,sol 2. pencere yanı duvar,14.52,e,-72,,-80,-80,,-89,,-81,,-90,
1,D,206,29.82,0,sol 2. pencere yanı duvar,16.44,d,-69,-79,-68,-80,-76,,,-82,-86,,
1,D,206,29.82,0,sol 2. pencere yanı duvar,16.48,d,-78,-77,-73,-82,-86,,,-86,,,
1,D,206,29.82,0,sol 2. pencere yanı duvar,,d,,,,,,,,,,,
1,D,206,31.60,0,sol 3. pencere,14.55,e,-74,,-79,-82,-80,-85,,-80,,-89,
1,D,206,31.60,0,sol 3. pencere,14.58,e,,,,,,,,,,,
1,D,206,31.60,0,sol 3. pencere,14.58,e,-70,,-76,-84,-79,-88,-75,,,-92,
1,D,206,31.60,0,sol 3. pencere,16.50,d,-74,-75,-72,-79,-80,,,-86,-86,,
1,D,206,31.60,0,sol 3. pencere,16.50,d,-66,-75,,-79,-80,,,-90,-86,,
1,D,206,33.50,0,sol 3.pencere yanı duvar,15.29,e,-73,,-70,-77,-81,,,-81,,-89,
1,D,206,33.50,0,sol 3.pencere yanı duvar,15.31,e,-82,-84,-78,-84,-78,,,,,,
1,D,206,33.50,0,sol 3.pencere yanı duvar,15.31,e,-83,-80,-76,-77,-79,,,,-87,-90,-96
1,D,206,35.75,0,sol en köşe kapı karşısı,15.34,e,-72,,-74,-81,-78,-95,,-80,-75,-88,-86
1,D,206,35.75,0,sol en köşe kapı karşısı,15.34,e,-75,,-86,-87,-87,,-93,-95,,,
1,D,206,35.75,0,sol en köşe kapı karşısı,15.40,e,-79,,-81,-85,,,-91,-94,,,
1,D,206,23.32,173,sol en arka 1.sıra,15.08,e,-66,-73,-71,-78,,-92,-88,-82,,-87,
1,D,206,23.32,173,sol en arka 1.sıra,15.13,e,,-75,-72,-74,-84,-88,,-89,,-86,
1,D,206,23.32,173,sol en arka 1.sıra,15.17,e,,,-72,-73,-84,-91,,,,-87,
1,D,206,23.32,173,sol en arka 1.sıra,16.58,d,-66,-75,-74,-79,-80,-90,-86,-90,,,
1,D,206,23.32,173,sol en arka 1.sıra,16.58,d,-70,-73,-60,-72,-78,-90,-86,,-85,,-86
1,D,206,23.32,173,sol en arka 1.sıra,16.58,d,-76,,-62,-73,,,,,-85,,-86
1,D,206,24.12,173,sol en arka 2.sıra,15.41,e,-68,-71,-66,-78,-78,-89,-89,-81,-92,-87,-95
1,D,206,24.12,173,sol en arka 2.sıra,15.51,e,-75,-78,-72,-78,-83,,,-89,,-91,
1,D,206,24.12,173,sol en arka 2.sıra,15.51,e,-77,-72,-75,-75,-83,,,-82,,-89,
1,D,206,24.12,173,sol en arka 2.sıra,17.02,d,-76,-72,-61,-73,,-90,-86,-86,-85,,
1,D,206,24.12,173,sol en arka 2.sıra,17.02,d,-65,-69,-58,-75,-77,-90,,-86,-86,,
1,D,206,24.12,173,sol en arka 2.sıra,17.02,d,-68,-71,-57,-75,-80,,,,-86,,
1,D,206,25.07,173,sol en arka 3.sıra,16.24,e,-71,-73,-74,,,-86,-81,-81,,-91,
1,D,206,25.07,173,sol en arka 3.sıra,16.42,e,-65,,-59,,,-84,-95,-81,-89,-89,-86
1,D,206,25.07,173,sol en arka 3.sıra,16.47,e,-66,,-59,,,-84,,-82,-91,-89,
1,D,206,25.07,173,sol en arka 3.sıra,17.07,d,-69,-77,-71,-86,-86,,,,-86,,
1,D,206,25.07,173,sol en arka 3.sıra,17.09,d,-71,-80,-68,-84,-86,,,,-86,,
1,D,206,25.07,173,sol en arka 3.sıra,17.12,d,-74,-78,-63,-79,-86,,,,-86,,-86
1,D,206,26.47,173,sol en arka 4.sıra,13.12,e,-61,,-61,-73,,-85,-80,-72,-85,-78,
1,D,206,26.47,173,sol en arka 4.sıra,13.12,e,-60,,-61,-71,-74,-84,-80,-72,-84,-82,
1,D,206,26.47,173,sol en arka 4.sıra,13.35,d,-81,-75,-72,-77,-74,,,-88,-86,,
1,D,206,26.47,173,sol en arka 4.sıra,13.29,d,-72,-76,-71,-79,-80,,,-90,-81,-90,-86
1,D,206,26.47,173,sol en arka 4.sıra,13.46,e,,,-72,-72,,,,,-65,-89,
1,D,206,26.47,173,sol en arka 4.sıra,13.35,d,-76,-77,-68,-82,-76,,,-90,-86,,
1,D,206,27.39,173,sol en arka 5.sıra,13.26,e,-66,-67,-68,-68,,-84,,-69,-80,-84,
1,D,206,27.39,173,sol en arka 5.sıra,13.35,e,-69,-69,-64,-67,,,,,,,
1,D,206,27.39,173,sol en arka 5.sıra,13.46,d,-72,-77,-76,,-74,,,-86,-86,,-86
1,D,206,27.39,173,sol en arka 5.sıra,13.46,d,-74,-82,-68,-80,,,,-86,,,
1,D,206,27.39,173,sol en arka 5.sıra,13.55,e,-65,,-65,-70,,,,,-78,-84,
1,D,206,27.39,173,sol en arka 5.sıra,13.54,d,-76,-77,-66,-78,-83,,,-82,,,
1,D,206,28.35,173,sol en arka 6.sıra,15.00,d,-51,-70,-69,-76,-76,-90,,-82,-83,,-80
1,D,206,28.35,173,sol en arka 6.sıra,15.01,d,-56,-78,-65,-76,-80,,,-82,-86,,
1,D,206,28.35,173,sol en arka 6.sıra,15.08,e,-55,-69,-61,-71,-81,-87,,-91,,-83,
1,D,206,28.35,173,sol en arka 6.sıra,15.08,e,-58,-69,-61,-71,-81,-87,,,-80,-83,
1,D,206,30.67,173,sol en arka 8.sıra,15.12,e,-64,-67,-62,,,,,,-87,,
1,D,206,30.67,173,sol en arka 8.sıra,15.08,d,-63,-84,-69,,-80,,-86,-86,-86,,
1,D,206,30.67,173,sol en arka 8.sıra,15.08,d,-57,-84,-70,,-80,,-86,,-86,,
1,D,206,30.67,173,sol en arka 8.sıra,15.16,e,-58,-69,-63,,-77,,,,,,
1,D,206,32.57,173,sol en arka 10.sıra,15.17,d,-67,-81,-69,-82,,,-86,-82,-86,,
1,D,206,32.57,173,sol en arka 10.sıra,15.17,d,-63,-82,-80,-82,,,-86,-86,,,-86
1,D,206,32.57,173,sol en arka 10.sıra,15.22,e,-59,-69,-64,,-77,,,,,,
1,D,206,32.57,173,sol en arka 10.sıra,15.22,e,-56,-68,-65,,,,,,,,
1,D,206,34.77,173,kürsü tarafı,15.24,e,-59,-69,-65,,,,-84,,,,
1,D,206,34.77,173,kürsü tarafı,15.27,e,-62,-71,-68,,,,-89,,,,
1,D,206,34.77,173,kürsü tarafı,15.22,d,-62,-81,-76,-81,,,-86,-86,,,-86
1,D,206,34.77,173,kürsü tarafı,15.22,d,-61,-80,-72,-80,,,,,,,
